"Country","Confirmed","Deaths","Recovered","Active","Date","Lat","Long"
"Afghanistan",367,11,18,338,2020-04-06,"33.93911","67.709953"
"Albania",377,21,116,240,2020-04-06,"41.153332","20.168331"
"Algeria",1423,173,90,1160,2020-04-06,"28.033886","1.659626"
"Andorra",525,21,31,473,2020-04-06,"42.546245","1.601554"
"Angola",16,2,2,12,2020-04-06,"-11.202692","17.873887"
"Antigua and Barbuda",15,0,0,15,2020-04-06,"17.060816","-61.796428"
"Argentina",1554,48,325,1181,2020-04-06,"-38.416097","-63.616672"
"Armenia",833,8,62,763,2020-04-06,"40.069099","45.038189"
"Australia",5797,40,1080,4677,2020-04-06,"-25.274398","133.775136"
"Austria",12297,220,3463,8614,2020-04-06,"47.516231","14.550072"
"Azerbaijan",641,7,44,590,2020-04-06,"40.143105","47.576927"
"Bahamas",29,5,4,20,2020-04-06,"25.03428","-77.39628"
"Bahrain",756,4,458,294,2020-04-06,"25.930414","50.637772"
"Bangladesh",123,12,33,78,2020-04-06,"23.684994","90.356331"
"Barbados",60,2,6,52,2020-04-06,"13.193887","-59.543198"
"Belarus",700,13,53,634,2020-04-06,"53.709807","27.953389"
"Belgium",20814,1632,3986,15196,2020-04-06,"50.503887","4.469936"
"Belize",7,1,0,6,2020-04-06,"17.189877","-88.49765"
"Benin",26,1,5,20,2020-04-06,"9.30769","2.315834"
"Bhutan",5,0,2,3,2020-04-06,"27.514162","90.433601"
"Bolivia",183,11,2,170,2020-04-06,"-16.290154","-63.588653"
"Bosnia and Herzegovina",674,29,47,598,2020-04-06,"43.915886","17.679076"
"Botswana",6,1,0,5,2020-04-06,"-22.328474","24.684866"
"Brazil",12161,564,127,11470,2020-04-06,"-14.235004","-51.92528"
"Brunei",135,1,82,52,2020-04-06,"4.535277","114.727669"
"Bulgaria",549,22,39,488,2020-04-06,"42.733883","25.48583"
"Burkina Faso",364,18,108,238,2020-04-06,"12.238333","-1.561593"
"Burma",22,1,0,21,2020-04-06,"21.913965","95.956223"
"Burundi",3,0,0,3,2020-04-06,"-3.373056","29.918886"
"Cabo Verde",7,1,1,5,2020-04-06,"16.002082","-24.013197"
"Cambodia",114,0,53,61,2020-04-06,"12.565679","104.990963"
"Cameroon",658,9,17,632,2020-04-06,"7.369722","12.354722"
"Canada",16563,339,3256,12968,2020-04-06,"56.130366","-106.346771"
"Central African Republic",8,0,0,8,2020-04-06,"6.611111","20.939444"
"Chad",9,0,0,9,2020-04-06,"15.454166","18.732207"
"Chile",4815,37,728,4050,2020-04-06,"-35.675147","-71.542969"
"China",82665,3335,77310,2020,2020-04-06,"35.86166","104.195397"
"Colombia",1579,46,88,1445,2020-04-06,"4.570868","-74.297333"
"Congo (Brazzaville)",45,5,2,38,2020-04-06,"-0.228021","15.827659"
"Congo (Kinshasa)",161,18,5,138,2020-04-06,"-4.038333","21.758664"
"Costa Rica",467,2,18,447,2020-04-06,"9.748917","-83.753428"
"Cote d'Ivoire",323,3,41,279,2020-04-06,"7.539989","-5.54708"
"Croatia",1222,16,130,1076,2020-04-06,"45.1","15.2"
"Cuba",350,9,18,323,2020-04-06,"21.521757","-77.781167"
"Cyprus",465,9,45,411,2020-04-06,"35.126413","33.429859"
"Czechia",4822,78,121,4623,2020-04-06,"49.817492","15.472962"
"Denmark",4875,187,1489,3199,2020-04-06,"56.26392","9.501785"
"Diamond Princess",712,11,619,82,2020-04-06,"37.749860","-122.597784"
"Djibouti",90,0,9,81,2020-04-06,"11.825138","42.590275"
"Dominica",15,0,1,14,2020-04-06,"15.414999","-61.370976"
"Dominican Republic",1828,86,33,1709,2020-04-06,"18.735693","-70.162651"
"Ecuador",3747,191,100,3456,2020-04-06,"-1.831239","-78.183406"
"Egypt",1322,85,259,978,2020-04-06,"26.820553","30.802498"
"El Salvador",69,4,5,60,2020-04-06,"13.794185","-88.89653"
